Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,momentum_252d,future_return_20d
2020-12-31 00:00:00-05:00,130.16621309475406,130.80695128204687,127.87510078750749,128.81678771972656,99116600,0.0,0.0,0.7823997949492314,0.01092756490447866
2021-01-04 00:00:00-05:00,129.62253643457043,129.70990576661,123.05985971825433,125.63250732421875,143301900,0.0,0.0,0.7554058436262949,0.04311873075837447
2021-01-05 00:00:00-05:00,125.12768641382664,127.89450053196555,124.68110734552344,127.18579864501953,97664900,0.0,0.0,0.7630608828007699,0.022364600167589455
2021-01-06 00:00:00-05:00,123.99184315415357,127.22464193893974,122.69095402050523,122.90453338623047,155088000,0.0,0.0,0.7117642314667401,0.08522911207489958
2021-01-07 00:00:00-05:00,124.61314843344341,127.7877006759222,124.12774352599207,127.09841918945312,109578200,0.0,0.0,0.7421499405794476,0.04616843559570416
2021-01-08 00:00:00-05:00,128.56433221406948,128.75850602101508,126.42855365810287,128.1954345703125,105158200,0.0,0.0,0.7206392449141408,0.038353653717420944
2021-01-11 00:00:00-05:00,125.41891104549275,126.37030043054156,124.74904996348562,125.21503448486328,100384500,0.0,0.0,0.6768459426905635,0.05608022332187934
2021-01-12 00:00:00-05:00,124.7490677981864,125.90433390902683,123.15694021026238,125.04031372070312,91951100,0.0,0.0,0.6394789370270537,0.052735433713882784
2021-01-13 00:00:00-05:00,125.00145310618869,127.61293359997765,124.73934514974653,127.06928253173828,88636800,0.0,0.0,0.6888875841719857,0.0339363172818139
2021-01-14 00:00:00-05:00,126.9819169126251,127.1760758978846,125.00145674818756,125.14708709716797,90221800,0.0,0.0,0.6704986083149149,0.05168155708380007
2021-01-15 00:00:00-05:00,125.02088418474625,126.41885265934873,123.29284393513538,123.42875671386719,111598500,0.0,0.0,0.6271789269264525,0.04915078167003273
2021-01-19 00:00:00-05:00,124.0500664749991,124.95292722948219,123.23458985463955,124.0986099243164,90757300,0.0,0.0,0.618095637618109,0.025076582211827514
2021-01-20 00:00:00-05:00,124.90437114467832,128.62257382285637,124.79758149233558,128.17599487304688,104319500,0.0,0.0,0.6826636194944904,-0.016103537297345705
2021-01-21 00:00:00-05:00,129.89434712123654,135.59299559628155,129.6904705564632,132.87472534179688,120150900,0.0,0.0,0.7381424437688611,-0.04972538142170979
2021-01-22 00:00:00-05:00,132.3019907807772,135.76778972652718,131.0787754658343,135.01055908203125,114459400,0.0,0.0,0.7576167746531219,-0.09262784621971032
2021-01-25 00:00:00-05:00,138.89379933914037,140.85482495156248,132.55439615848402,138.7481689453125,157611700,0.0,0.0,0.811495134931286,-0.11805174309908717
2021-01-26 00:00:00-05:00,139.40828353042602,140.08784738058793,137.24336716103608,138.9811248779297,98390600,0.0,0.0,0.8695104368189985,-0.12309773088557896
2021-01-27 00:00:00-05:00,139.24322781199024,140.08784232197448,136.31139319096383,137.91322326660156,140843800,0.0,0.0,0.8041091410178449,-0.14704488607955424
2021-01-28 00:00:00-05:00,135.4474245519407,137.84532659995853,132.70973305547886,133.08834838867188,142621100,0.0,0.0,0.705295940593198,-0.11415003397126233
2021-01-29 00:00:00-05:00,131.8651231963266,132.7485638456348,126.40917577307293,128.10809326171875,177523800,0.0,0.0,0.6438656460593748,-0.030153559706573296
2021-02-01 00:00:00-05:00,129.84582625364877,131.42825115687322,127.1081351803439,130.2244415283203,106239800,0.0,0.0,0.7485499416288761,-0.06584941230122043
2021-02-02 00:00:00-05:00,131.76801136085197,132.33108282824628,130.68070911395654,131.04962158203125,83305400,0.0,0.0,0.7644756728571638,-0.09443360562093261
2021-02-03 00:00:00-05:00,131.7971241921303,131.80684177003687,129.70988918879502,130.03025817871094,89880900,0.0,0.0,0.6947991851038722,-0.10176540658789257
2021-02-04 00:00:00-05:00,132.32139835278772,133.38928040334213,130.66130683037125,133.37957763671875,84183100,0.0,0.0,0.7243925556010489,-0.11491804752776635
2021-02-05 00:00:00-05:00,133.5399993993488,133.6080499269068,132.09132576396362,132.9663543701172,75693800,0.205,0.0,0.6991751552305734,-0.14916646995444038
2021-02-08 00:00:00-05:00,132.25660382908822,133.1608138714623,131.1773940055882,133.11219787597656,71297200,0.0,0.0,0.7244791928694081,-0.11555043358615968
2021-02-09 00:00:00-05:00,132.83020097423812,134.0552584795755,132.08157120488215,132.23712158203125,76774200,0.0,0.0,0.7050445168660622,-0.11785876820213304
2021-02-10 00:00:00-05:00,132.69412944515517,133.18999187171354,130.6718255115653,131.63436889648438,73046600,0.0,0.0,0.707574634724129,-0.09919506560377611
2021-02-11 00:00:00-05:00,132.13017580944882,132.6065887223786,130.0592713492993,131.3815460205078,64280000,0.0,0.0,0.6647611022794462,-0.10434383739976016
2021-02-12 00:00:00-05:00,130.62318851283254,131.7704486448014,129.98149309892653,131.61488342285156,60145100,0.0,0.0,0.6796788761834824,-0.08406584048971932
2021-02-16 00:00:00-05:00,131.731578673249,132.23714344471992,129.10646349095452,129.49537658691406,80576300,0.0,0.0,0.6522220850769067,-0.057211602419765084
2021-02-17 00:00:00-05:00,127.60920934245159,128.55230335262408,125.8785865854489,127.21057891845703,97918500,0.0,0.0,0.6533443848843101,-0.04646910457128861
2021-02-18 00:00:00-05:00,125.61604564080127,126.393856958418,123.87570598415513,126.11190795898438,96856700,0.0,0.0,0.6156658519790263,-0.07077328500024804
2021-02-19 00:00:00-05:00,126.62722545179416,127.08418911907316,125.22716781889845,126.2674789428711,87668800,0.0,0.0,0.634426678767583,-0.0760760745640019
2021-02-22 00:00:00-05:00,124.45906002205308,126.1216319880877,122.11591609767342,122.50482177734375,103916400,0.0,0.0,0.6224458173520881,-0.020714267564603817
2021-02-23 00:00:00-05:00,120.32696020598745,123.1951256816812,115.10591870921408,122.36870574951172,158273000,0.0,0.0,0.7014636687138758,-0.02637858170568186
2021-02-24 00:00:00-05:00,121.47424078389619,122.07703760379697,118.83941546871539,121.87286376953125,111039900,0.0,0.0,0.7539803547770296,-0.04196256194394432
